"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"30152" "C0002879" "ENG" "S" "L0002879" "VO" "S0584453" "Y" "A0638676" NA "" "" "ICD10" "HT" "D59" "Acquired haemolytic anaemia" 3 "N" 256 NA
"30228" "C0002881" "ENG" "P" "L0696639" "VO" "S0901855" "Y" "A0958933" NA "" "" "ICD10" "PT" "D58.9" "Hereditary haemolytic anaemia, unspecified" 3 "N" NA NA
"30607" "C0002894" "ENG" "P" "L0002894" "VO" "S0723975" "Y" "A0782815" NA "" "" "ICD10" "PT" "D46.2" "Refractory anaemia with excess of blasts" 3 "N" NA NA
"30693" "C0002895" "ENG" "S" "L0776638" "PF" "S1026969" "N" "A1084340" NA "" "" "ICD10" "HT" "D57" "Sickle-cell disorders" 3 "N" NA NA
"30798" "C0002902" "ENG" "P" "L0002902" "PF" "S0013816" "N" "A0023740" NA "" "" "ICD10" "PT" "Q00.0" "Anencephaly" 3 "N" 256 NA
"31631" "C0002940" "ENG" "S" "L0002947" "PF" "S0218257" "Y" "A0241845" NA "" "" "ICD10" "PT" "I72.9" "Aneurysm of unspecified site" 3 "N" 256 NA
"31649" "C0002945" "ENG" "P" "L0002945" "PF" "S0589942" "N" "A0644988" NA "" "" "ICD10" "PT" "I72.8" "Aneurysm of other specified arteries" 3 "N" 256 NA
"31765" "C0002962" "ENG" "P" "L0002962" "VC" "S0355458" "N" "A0389760" NA "" "" "ICD10" "HT" "I20" "Angina pectoris" 3 "N" NA NA
"31784" "C0002962" "ENG" "S" "L0700183" "PF" "S0804179" "Y" "A0864052" NA "" "" "ICD10" "PT" "I20.9" "Angina pectoris, unspecified" 3 "N" 256 NA
"31891" "C0002965" "ENG" "P" "L0002965" "VCW" "S0516122" "Y" "A0589684" NA "" "" "ICD10" "PT" "I20.0" "Unstable angina" 3 "N" NA NA
"32301" "C0002994" "ENG" "S" "L0002994" "VO" "S0590109" "Y" "A0645152" NA "" "" "ICD10" "PT" "T78.3" "Angioneurotic oedema" 3 "N" 256 NA
"32867" "C0003028" "ENG" "P" "L0003028" "PF" "S0014058" "N" "A0024078" NA "" "" "ICD10" "PT" "L74.4" "Anhidrosis" 3 "N" 256 NA
"33641" "C0003076" "ENG" "S" "L0487573" "PF" "S0583429" "Y" "A0637630" NA "" "" "ICD10" "PT" "Q13.1" "Absence of iris" 3 "N" 256 NA
"33885" "C0003090" "ENG" "S" "L0003091" "PF" "S0218699" "Y" "A0243269" NA "" "" "ICD10" "PT" "M24.6" "Ankylosis of joint" 3 "N" 256 NA
"34028" "C0003107" "ENG" "P" "L0702647" "PF" "S0804609" "Y" "A0864493" NA "" "" "ICD10" "PT" "L29.3" "Anogenital pruritus, unspecified" 3 "N" 256 NA
"34031" "C0003110" "ENG" "P" "L0003110" "PF" "S0804618" "N" "A0864503" NA "" "" "ICD10" "PT" "K07.1" "Anomalies of jaw-cranial base relationship" 3 "N" 256 NA
"34304" "C0003123" "ENG" "P" "L0003123" "PF" "S0014262" "N" "A0024376" NA "" "" "ICD10" "PT" "R63.0" "Anorexia" 3 "N" 256 NA
"34340" "C0003125" "ENG" "P" "L0003125" "VC" "S0355609" "Y" "A0389997" NA "" "" "ICD10" "PT" "F50.0" "Anorexia nervosa" 3 "N" NA NA
"34368" "C0003126" "ENG" "P" "L0003126" "PF" "S0014267" "N" "A0024396" NA "" "" "ICD10" "PT" "R43.0" "Anosmia" 3 "N" 256 NA
"34966" "C0003165" "ENG" "S" "L6194734" "PF" "S0841407" "Y" "A0899673" NA "" "" "ICD10" "PT" "J60" "Coalworker's pneumoconiosis" 3 "N" NA NA
"35188" "C0003175" "ENG" "S" "L0003175" "PF" "S0014378" "N" "A0024576" NA "" "" "ICD10" "HT" "A22" "Anthrax" 3 "N" 256 NA
"35199" "C0003175" "ENG" "S" "L0505866" "PF" "S0590888" "Y" "A0645949" NA "" "" "ICD10" "PT" "A22.9" "Anthrax, unspecified" 3 "N" 256 NA
"35258" "C0003177" "ENG" "P" "L0003177" "PF" "S0217588" "N" "A0239882" NA "" "" "ICD10" "PT" "A22.0" "Cutaneous anthrax" 3 "N" 256 NA
"39605" "C0003431" "ENG" "S" "L0562595" "PF" "S0633502" "Y" "A0689401" NA "" "" "ICD10" "PT" "F60.2" "Dissocial personality disorder" 3 "N" 256 NA
"40367" "C0003469" "ENG" "S" "L1224826" "PF" "S0591476" "Y" "A0646558" NA "" "" "ICD10" "PT" "F41.9" "Anxiety disorder, unspecified" 3 "N" 256 NA
"40588" "C0003492" "ENG" "S" "L0179065" "PF" "S0243573" "Y" "A0266180" NA "" "" "ICD10" "PT" "Q25.1" "Coarctation of aorta" 3 "N" NA NA
"40810" "C0003502" "ENG" "P" "L0711905" "PF" "S0956122" "N" "A1012791" NA "" "" "ICD10" "HT" "I35" "Nonrheumatic aortic valve disorders" 3 "N" 256 NA
"40829" "C0003504" "ENG" "P" "L0003504" "VC" "S0806702" "Y" "A0866619" NA "" "" "ICD10" "PT" "I35.1" "Aortic (valve) insufficiency" 3 "N" NA NA
"40915" "C0003507" "ENG" "P" "L0003507" "VC" "S0806703" "Y" "A0866621" NA "" "" "ICD10" "PT" "I35.0" "Aortic (valve) stenosis" 3 "N" NA NA
"40925" "C0003507" "ENG" "S" "L0711776" "PF" "S1033823" "Y" "A1091357" NA "" "" "ICD10" "PT" "Q25.3" "Stenosis of aorta" 3 "N" NA NA
"41047" "C0003516" "ENG" "P" "L0003516" "VC" "S0806777" "Y" "A0866706" NA "" "" "ICD10" "PT" "Q21.4" "Aortopulmonary septal defect" 3 "N" NA NA
"41248" "C0003534" "ENG" "P" "L0003534" "PF" "S0015220" "N" "A0025542" NA "" "" "ICD10" "PT" "H27.0" "Aphakia" 3 "N" 256 NA
"41543" "C0003564" "ENG" "P" "L0003564" "PF" "S0015262" "N" "A0025593" NA "" "" "ICD10" "PT" "R49.1" "Aphonia" 3 "N" 256 NA
"42083" "C0003615" "ENG" "S" "L0713072" "PF" "S1054512" "Y" "A1112249" NA "" "" "ICD10" "PT" "K37" "Unspecified appendicitis" 3 "N" 256 NA
"42381" "C0003635" "ENG" "P" "L1222082" "PF" "S0015455" "Y" "A0025885" NA "" "" "ICD10" "PT" "R48.2" "Apraxia" 3 "N" 256 NA
"43308" "C0003705" "ENG" "P" "L0823983" "PF" "S1047525" "Y" "A1105103" NA "" "" "ICD10" "PX" "T63.3" "Toxic effect of venom of spider" 3 "N" 256 NA
"43311" "C0003705" "ENG" "S" "L0037912" "PF" "S1058873" "Y" "A1116721" NA "" "" "ICD10" "PS" "T63.3" "Venom of spider" 3 "Y" NA NA
"44442" "C0003803" "ENG" "S" "L0078983" "PF" "S0470971" "Y" "A0535449" NA "" "" "ICD10" "PT" "Q07.0" "Arnold-Chiari syndrome" 3 "N" NA NA
"44626" "C0003811" "ENG" "S" "L0720654" "PF" "S0832970" "Y" "A0891269" NA "" "" "ICD10" "PT" "I49.9" "Cardiac arrhythmia, unspecified" 3 "N" 256 NA
"45268" "C0003860" "ENG" "P" "L0514636" "PF" "S0592648" "Y" "A0647894" NA "" "" "ICD10" "PT" "I77.6" "Arteritis, unspecified" 3 "N" 256 NA
"45311" "C0003862" "ENG" "S" "L0030195" "PF" "S0218703" "Y" "A0243288" NA "" "" "ICD10" "PT" "M25.5" "Pain in joint" 3 "N" 256 NA
"45352" "C0003864" "ENG" "P" "L0725050" "PF" "S0808695" "Y" "A0868683" NA "" "" "ICD10" "PT" "M13.9" "Arthritis, unspecified" 3 "N" NA NA
"45446" "C0003869" "ENG" "S" "L0161386" "PF" "S0398416" "N" "A0450353" NA "" "" "ICD10" "HT" "M00" "Pyogenic arthritis" 3 "N" 256 NA
"45457" "C0003869" "ENG" "S" "L0725028" "PF" "S1001723" "Y" "A1060177" NA "" "" "ICD10" "PT" "M00.9" "Pyogenic arthritis, unspecified" 3 "N" 256 NA
"45478" "C0003872" "ENG" "P" "L0283149" "PF" "S0808748" "Y" "A0868738" NA "" "" "ICD10" "PT" "L40.5" "Arthropathic psoriasis" 3 "N" 256 NA
"45543" "C0003873" "ENG" "S" "L0725039" "PF" "S1013651" "Y" "A1071499" NA "" "" "ICD10" "PT" "M06.9" "Rheumatoid arthritis, unspecified" 3 "N" 256 NA
"45697" "C0003886" "ENG" "S" "L0373152" "PF" "S0471055" "Y" "A0535536" NA "" "" "ICD10" "PT" "Q74.3" "Arthrogryposis multiplex congenita" 3 "N" NA NA
"45800" "C0003892" "ENG" "S" "L0283150" "PF" "S0499558" "Y" "A0570147" NA "" "" "ICD10" "PT" "M14.6" "Neuropathic arthropathy" 3 "N" 256 NA
"46487" "C0003950" "ENG" "P" "L0003950" "PF" "S0016131" "N" "A0026845" NA "" "" "ICD10" "HT" "B77" "Ascariasis" 3 "N" 256 NA
"46498" "C0003950" "ENG" "S" "L0515726" "PF" "S0593154" "Y" "A0648386" NA "" "" "ICD10" "PT" "B77.9" "Ascariasis, unspecified" 3 "N" 256 NA
"46653" "C0003962" "ENG" "P" "L0003962" "PF" "S0016144" "N" "A0026880" NA "" "" "ICD10" "PT" "R18" "Ascites" 3 "N" 256 NA
"46863" "C0003969" "ENG" "P" "L0001116" "PF" "S0356841" "Y" "A0391966" NA "" "" "ICD10" "PT" "E54" "Ascorbic acid deficiency" 3 "N" NA NA
"47525" "C0004030" "ENG" "P" "L0004030" "PF" "S0016245" "N" "A0027052" NA "" "" "ICD10" "HT" "B44" "Aspergillosis" 3 "N" 256 NA
"47536" "C0004030" "ENG" "S" "L0516195" "PF" "S0593339" "Y" "A0648606" NA "" "" "ICD10" "PT" "B44.9" "Aspergillosis, unspecified" 3 "N" 256 NA
"47608" "C0004032" "ENG" "P" "L0004032" "PF" "S0482184" "Y" "A0549141" NA "" "" "ICD10" "PT" "B44.7" "Disseminated aspergillosis" 3 "N" 256 NA
"47752" "C0004044" "ENG" "P" "L0004044" "PF" "S0016259" "N" "A0027112" NA "" "" "ICD10" "PT" "R09.0" "Asphyxia" 3 "N" 256 NA
"47768" "C0004044" "ENG" "S" "L0283669" "PF" "S0001741" "Y" "A0004527" NA "" "" "ICD10" "PT" "T71" "Asphyxiation" 3 "N" 256 NA
"47804" "C0004045" "ENG" "S" "L0516242" "PF" "S0601123" "Y" "A0656678" NA "" "" "ICD10" "HT" "P21" "Birth asphyxia" 3 "N" 256 NA
"47807" "C0004045" "ENG" "S" "L0728020" "PF" "S0819281" "Y" "A0878822" NA "" "" "ICD10" "PT" "P21.9" "Birth asphyxia, unspecified" 3 "N" NA NA
"47901" "C0004052" "ENG" "S" "L0651573" "PF" "S0913003" "Y" "A0969634" NA "" "" "ICD10" "PX" "W78" "Inhalation of gastric contents as an external cause of morbidity and mortality" 3 "N" NA NA
"47903" "C0004052" "ENG" "S" "L0796955" "PF" "S0913002" "Y" "A0969631" NA "" "" "ICD10" "PS" "W78" "Inhalation of gastric contents" 3 "Y" NA NA
"47989" "C0004063" "ENG" "P" "L0516419" "PF" "S0593519" "N" "A0648814" NA "" "" "ICD10" "HT" "X85-Y09.9" "Assault" 3 "N" 256 NA
"47997" "C0004063" "ENG" "S" "L0004063" "PF" "S0219095" "Y" "A0244270" NA "" "" "ICD10" "PT" "Y09" "Assault by unspecified means" 3 "N" 256 NA
"48224" "C0004096" "ENG" "P" "L0004096" "PF" "S0016440" "N" "A0027332" NA "" "" "ICD10" "HT" "J45" "Asthma" 3 "N" 256 NA
"48237" "C0004096" "ENG" "S" "L0516718" "PF" "S0593565" "Y" "A0648867" NA "" "" "ICD10" "PT" "J45.9" "Asthma, unspecified" 3 "N" NA NA
"48318" "C0004106" "ENG" "P" "L0004106" "PF" "S0016454" "Y" "A0027356" NA "" "" "ICD10" "PT" "H52.2" "Astigmatism" 3 "N" 256 NA
"48510" "C0004134" "ENG" "S" "L0732431" "PF" "S0811744" "Y" "A0871746" NA "" "" "ICD10" "PT" "R27.0" "Ataxia, unspecified" 3 "N" 256 NA
"48622" "C0004138" "ENG" "P" "L0732425" "PF" "S0901832" "Y" "A0958904" NA "" "" "ICD10" "PT" "G11.9" "Hereditary ataxia, unspecified" 3 "N" 256 NA
"48623" "C0004138" "ENG" "S" "L0004138" "PF" "S0489039" "N" "A0557515" NA "" "" "ICD10" "HT" "G11" "Hereditary ataxia" 3 "N" 256 NA
"48679" "C0004144" "ENG" "S" "L0034058" "PF" "S0398223" "Y" "A0450035" NA "" "" "ICD10" "PT" "J98.1" "Pulmonary collapse" 3 "N" 256 NA
"48777" "C0004153" "ENG" "P" "L0004153" "PF" "S0016520" "N" "A0027478" NA "" "" "ICD10" "HT" "I70" "Atherosclerosis" 3 "N" 256 NA
"48786" "C0004153" "ENG" "S" "L0732570" "PF" "S0811772" "Y" "A0871778" NA "" "" "ICD10" "PT" "I25.0" "Atherosclerotic cardiovascular disease, so described" 3 "N" NA NA
"50648" "C0004352" "ENG" "S" "L0008105" "PF" "S0004014" "Y" "A0010348" NA "" "" "ICD10" "PT" "F84.0" "Childhood autism" 3 "N" 256 NA
"52081" "C0004445" "ENG" "P" "L0004445" "PF" "S0218950" "Y" "A0243964" NA "" "" "ICD10" "PT" "S05.7" "Avulsion of eye" 3 "N" 256 NA
"53172" "C0004576" "ENG" "P" "L0004576" "PF" "S0017433" "N" "A0028590" NA "" "" "ICD10" "PT" "B60.0" "Babesiosis" 3 "N" 256 NA
"53561" "C0004604" "ENG" "S" "L0297766" "PF" "S0368198" "N" "A0407619" NA "" "" "ICD10" "HT" "M54" "Dorsalgia" 3 "N" 256 NA
"53568" "C0004604" "ENG" "S" "L0818374" "PF" "S0862412" "Y" "A0921067" NA "" "" "ICD10" "PT" "M54.9" "Dorsalgia, unspecified" 3 "N" 256 NA
"53948" "C0004623" "ENG" "S" "L0520074" "PF" "S0596823" "Y" "A0651874" NA "" "" "ICD10" "PT" "A49.9" "Bacterial infection, unspecified" 3 "N" 256 NA
