"CUI_inp" "CUI_inp_name" "Map_type" "CUI_out" "CUI_out_name"
"61" "C0265890" "Congenital stenosis of aorta" "G/P" "C0003507;C0038449;C0478000" "Aortic Valve Stenosis;Stricture of artery;Other congenital malformations of aorta"
"62" "C0233781" "Command hallucination" "G/P" "C0018524;C0233762" "Hallucinations;Hallucinations, Auditory"
"63" "C0271878" "Steroid-induced osteopenia" "G/P" "C0152091" "Osteochondropathy"
"64" "C0339590" "Phacomorphic glaucoma" "A" "C0494534" "Glaucoma secondary to other eye disorders"
"65" "C0795690" "Congenital omphalocele" "A" "C1306503" "Congenital exomphalos"
"66" "C0472386" "Progressive post hemorrhagic ventricular dilatation" "A" "C0009451" "Communicating Hydrocephalus"
"67" "C0848261" "Pyrexial cold" "O" "C0009443;C0009443" "Common Cold;Common Cold"
"68" "C0268363" "Osteogenesis imperfecta type IV (disorder)" "A" "C0029434" "Osteogenesis Imperfecta"
"69" "C0865754" "v.cava; syndrome" "A" "C0155802;C0348668" "Compression of vein;Other and unspecified disorders of the circulatory system"
"70" "C0346948" "malignant neoplasm of chest wall" "G/P" "C0153661;C0495679" "Malignant neoplasm of thorax;Localized swelling, mass and lump, trunk"
"71" "C0749591" "tonsillopharyngitis" "A" "C0009443;C0155818" "Common Cold;Other acute upper respiratory infections of multiple sites"
"72" "C0263457" "Acne cosmetica" "A" "C0029485" "Other acne"
"73" "C2919575" "Nonsustained ventricular tachycardia" "A" "C0042514" "Tachycardia, Ventricular"
"74" "C2893978" "primary osteoarthritis of hand" "G/P" "C0022408" "Arthropathy"
"75" "C0392108" "Pulmonary venous thrombosis" "G/P" "C0178272;C0265780;C0348712;C0494623" "Disorder of pulmonary circulation;Congenital absence of lung;Other disorders of lung;Embolism and thrombosis of unspecified vein"
"76" "C0155244" "Stenosis of lacrimal punctum" "A" "C0155242" "Stenosis and insufficiency of lacrimal passages"
"77" "C0343168" "Elbow joint effusion" "A" "C1253936" "Hydrarthrosis"
"78" "C0343170" "Hemarthrosis of knee" "G/P" "C0018924;C0022408" "Hemarthrosis;Arthropathy"
"79" "C0023788" "Whipple Disease" "A" "C0004623;C0341288" "Bacterial Infections;Other intestinal malabsorption"
"80" "C3838735" "Antiphospholipid syndrome in pregnancy" "G/P" "C0080276;C0477583;C1399404" "Disorder of the genitourinary system;Systemic involvement of connective tissue, unspecified;Hemorrhagic disorder due to circulating anticoagulants"
"81" "C1456184" "Anterior articulation" "O" "C0155939" "Dental arch relationship anomaly"
"82" "C0265649" "Metatarsus primus varus, congenital" "A" "C0158795;C0265647" "Other and unspecified congenital anomalies;Congenital metatarsus varus"
"83" "C0730505" "Distance exotropia" "A" "C0015310" "Exotropia"
"84" "C0008033" "Pleuritic pain" "A" "C0029537;C0423729" "Other chest pain;Chest pain on breathing"
"85" "C0457980" "Neurovascular corn" "A" "C0157726" "Corns and callus"
"86" "C1690547" "Allergy to nickel" "G/P" "C0478506" "Unspecified adverse effect of drug or medicament"
"87" "C1997893" "Rheumatoid arthritis of foot" "G/P" "C0003873;C0158360" "Rheumatoid Arthritis;Ledderhose disease"
"88" "C0581374" "Single coronary vessel disease" "A" "C0010054" "Coronary Arteriosclerosis"
"89" "C0497209" "Infective conjunctivitis" "A" "C0009763;C0009768;C0009774" "Conjunctivitis;Bacterial conjunctivitis;Viral Conjunctivitis"
"90" "C2062728" "Benzodiazepine withdrawal" "G/P" "C0029104;C0494389" "Opioid withdrawal;Mental and behavioral disorders due to multiple drug use and use of psychoactive substances, withdrawal state"
"91" "C0281869" "Hodgkin's disease in remission" "G/P" "C0019829" "Hodgkin Disease"
"92" "C0151714" "Hypermagnesemia" "A" "C0012716" "Disorder of magnesium metabolism"
"93" "C0741983" "Carotid sinus hypersensitivity" "A" "C0154690" "Idiopathic peripheral autonomic neuropathy"
"94" "C0850304" "Popliteal aneurysm" "O" "C0009917" "Contracture"
"95" "C0334520" "Teratoma, Malignant" "G/P" "C0006826" "Malignant Neoplasms"
"96" "C2315963" "Non-seminomatous malignant neoplasm of testis" "A" "C0153594" "Malignant neoplasm of testis"
"97" "C0346237" "Carcinoma in situ of testis" "A" "C0154090" "Carcinoma in situ of other and unspecified male genital organs"
"98" "C0751110" "Single Seizure" "G/P" "C0014544;C0478149" "Epilepsy;Other and unspecified convulsions"
"99" "C1843256" "IRAK4 Deficiency" "A" "C0021051" "Immunologic Deficiency Syndromes"
"100" "C0269062" "Chronic cervicitis" "A" "C0007860" "Uterine Cervicitis"
"101" "C3275121" "One Coronary Vessel Disease" "G/P" "C0155764" "Unspecified disorders of arteries and arterioles"
"102" "C0264693" "Acute coronary insufficiency" "A" "C0348590" "Other forms of acute ischemic heart disease"
"103" "C0521587" "Gastrointestinal stenosis" "G/P" "C0012242;C0152945" "Digestive System Disorders;Gastrointestinal anthrax"
"104" "C0003466" "Anus, Imperforate" "A" "C0266015;C0495559" "Congenital digestive system anomalies;Congenital absence, atresia and stenosis of anus without fistula"
"105" "C0151694" "Hemorrhage of colon" "A" "C0017181" "Gastrointestinal Hemorrhage"
"106" "C0017107" "Gas Poisoning" "G/P" "C0274869;C0496113" "Toxic effect of heavy metal;Toxic effect of unspecified substance"
"107" "C0234906" "Annular Erythema" "A" "C0041834" "Erythema"
"108" "C2839347" "Unspecified injury of colon" "G/P" "C0555307" "Injury of large intestine"
"109" "C0597367" "reflex disorder" "G/P" "C0027765" "nervous system disorder"
"110" "C1531897" "Submucosal tumor of stomach" "G/P" "C0024623;C0496905" "Malignant neoplasm of stomach;Neoplasm of uncertain or unknown behavior of stomach"
"111" "C3840090" "Abdominal muscle pain" "G/P" "C0231528" "Myalgia"
"112" "C0036651" "Senile lentigo" "A" "C0477498" "Other skin changes due to chronic exposure to nonionizing radiation"
"113" "C0543991" "chronic primary angle-closure glaucoma" "G/P" "C0017601;C0017606" "Glaucoma;Primary angle-closure glaucoma"
"114" "C1863844" "Adult-onset citrullinemia type 2" "G/P" "C0154246" "Urea Cycle Disorders, Inborn"
"115" "C0266786" "Short cord" "A" "C0477889" "Fetus and newborn affected by other and unspecified conditions of umbilical cord"
"116" "C0729728" "Femoral false aneurysm" "G/P" "C0002940;C0085096;C0155764;C0263978" "Aneurysm;Peripheral Vascular Diseases;Unspecified disorders of arteries and arterioles;Disorder of soft tissue"
"117" "C0544617" "Neurogenic shock (disorder)" "A" "C0478150" "Other shock"
"118" "C1859049" "CCHS WITH HIRSCHSPRUNG DISEASE" "O" "C0037315" "Sleep Apnea Syndromes"
"119" "C0274576" "Poisoning by fluorouracil" "G/P" "C0274829;C0412836" "Toxic effect of chiefly nonmedicinal substance;Poisoning by antineoplastic AND/OR immunosuppressive drug"
"120" "C0426484" "Throat symptom" "A" "C0264221;C0478115" "Disorder of upper respiratory system;Other specified symptoms and signs involving the circulatory and respiratory systems"
"121" "C0522057" "Numbness of skin" "A" "C0012766;C0476226;C0478123" "Skin sensation disturbance;Anesthesia of skin;Other and unspecified disturbances of skin sensation"
"122" "C0151736" "Accidental injury" "A" "C3263723" "Traumatic injury"
"123" "C0151844" "Perforated corneal ulcer" "A" "C0010043" "Corneal Ulcer"
"124" "C0401148" "Acute constipation" "A" "C0009806" "Constipation"
"125" "C0241919" "heroin withdrawal" "G/P" "C0029104" "Opioid withdrawal"
"126" "C0600041" "Infective cystitis" "A" "C0010692" "Cystitis"
"127" "C1859694" "Periarticular osteoporosis" "O" "C0003892" "Neurogenic arthropathy"
"128" "C3662005" "Neuropathy of lower limb" "A" "C0494489" "Mononeuropathy of lower limb"
"129" "C2584777" "Autoimmune thrombotic thrombocytopenic purpura" "A" "C2717961" "Thrombotic Microangiopathies"
"130" "C2711099" "Chronic psychogenic pain" "G/P" "C0494408" "Persistent somatoform pain disorder"
"131" "C1861821" "CATARACT, MARNER TYPE" "A" "C0086543" "Cataract"
"132" "C0241982" "Bulla of lung" "A" "C0034067;C0495786" "Pulmonary Emphysema;Abnormal findings on diagnostic imaging of lung"
"133" "C0264663" "Atrial aneurysm" "A" "C0018789" "Heart Aneurysm"
"134" "C0920156" "Biliary tract infection" "G/P" "C0005424" "Biliary Tract Diseases"
"135" "C1264527" "Chronic poisoning" "G/P" "C0274869;C0496113" "Toxic effect of heavy metal;Toxic effect of unspecified substance"
"136" "C1536500" "Deficiency of acetyl-CoA acetyltransferase" "A" "C0002514" "Amino Acid Metabolism, Inborn Errors"
"137" "C0268601" "HMG CoA lyase deficiency" "A" "C0002514" "Amino Acid Metabolism, Inborn Errors"
"138" "C0342792" "Succinyl-CoA:3-oxoacid CoA transferase deficiency" "A" "C0001122" "Acidosis"
"139" "C0406846" "Post-episiotomy pain" "G/P" "C0477787;C0869285" "Other specified conditions associated with female genital organs and menstrual cycle;Other complications of procedures, not elsewhere classified in ICD10CM"
"140" "C0852885" "Bucking" "G/C" "C0478503" "Other complications of anesthesia"
"141" "C0497431" "pregnancy vomiting/nausea" "G/C" "C0156703" "Other vomiting complicating pregnancy"
"142" "C0263209" "Skin infection other" "A" "C0034212" "Pyoderma"
"143" "C0238402" "Pycnodysostosis" "G/P" "C0025517;C0029454" "Metabolic Diseases;Albers-Schonberg disease"
"144" "C1257931" "Mammary Neoplasms, Human" "G/P" "C0006142;C0496956" "Malignant neoplasm of breast;Neoplasm of uncertain or unknown behavior of breast"
"145" "C0375743" "Accident due to dust storm" "G/P" "C0479866" "exposure to forces of nature"
"146" "C1857231" "LACTASE PERSISTENCE" "O" "C0022951;C0348485" "Lactose Intolerance;Other lactose intolerance"
"147" "C0558411" "Contracture after injury" "G/P" "C0000768;C0009918;C0152086;C0264132;C0478519;C0496161;C0496165;C0496170" "Congenital Abnormality;Contracture of joint;Traumatic arthropathy;Acquired musculoskeletal deformity;Sequelae of injuries of lower limb;Sequelae of injuries of head;Sequelae of injuries of neck and trunk;Sequelae of injuries of upper limb"
"148" "C0948281" "Malignant syndrome NOS" "A" "C0027849" "Neuroleptic Malignant Syndrome"
"149" "C0585267" "Ischemic hand" "G/P" "C0029822" "Other specified peripheral vascular diseases"
"150" "C1719638" "recurrent convulsions" "G/P" "C0478149" "Other and unspecified convulsions"
"151" "C0242183" "Jaundice, Hemolytic" "G/P" "C0022346;C0348497;C0478166;C0549567" "Icterus;Other disorders of bilirubin metabolism;Other specified abnormal findings of blood chemistry;Pigmentation Disorders"
"152" "C0011360" "Dental Fissures" "G/P" "C0011334" "Dental caries"
"153" "C0751049" "Communication Disabilities" "O" "C0349325;C0349325" "Developmental disorder of speech and language, unspecified;Developmental disorder of speech and language, unspecified"
"154" "C0751341" "Infectious Myelitis" "G/P" "C0014058" "Encephalitis, myelitis and encephalomyelitis"
"155" "C1836573" "GRISCELLI SYNDROME, TYPE 3" "A" "C0549567" "Pigmentation Disorders"
"156" "C1262008" "Hyperphosphatasaemia" "G/P" "C0012242;C0152945;C0263660" "Digestive System Disorders;Gastrointestinal anthrax;Musculoskeletal and connective tissue disorders"
"157" "C0015404" "Eye Infections, Bacterial" "G/P" "C0004623;C0259800;C2939130" "Bacterial Infections;Purulent endophthalmitis;Other bacterial diseases"
"158" "C0346082" "Skin Lymphangiosarcoma" "G/P" "C0007114;C0024221;C0153664;C0154125;C0348362;C0496137" "Malignant neoplasm of skin;Lymphangioma;Malignant neoplasm of upper limb NOS;Neoplasm of uncertain behavior of soft tissues;Malignant neoplasm of connective and soft tissue, unspecified;Unspecified complication of procedure"
"159" "C0277969" "Abdominal pain through to back" "A" "C0478119" "Other and unspecified abdominal pain"
"160" "C2751599" "Dermatitis, Atopic, 7" "A" "C0011615" "Dermatitis, Atopic"
"161" "C0741804" "acute bronchospasm" "G/P" "C0494694" "Diseases of bronchus, not elsewhere classified"
"162" "C0454593" "Phonological dyslexia" "A" "C0002019" "Dyslexia and alexia"
"163" "C1096616" "Contralateral breast cancer" "G/P" "C0006145;C0027651" "Breast Diseases;Neoplasms"
"164" "C1859309" "Syndactyly Cenani Lenz type" "A" "C0039075" "Syndactyly"
"165" "C1333768" "Gastric Gastrointestinal Stromal Tumor" "A" "C0496905" "Neoplasm of uncertain or unknown behavior of stomach"
"166" "C1849236" "Severe combined immunodeficiency, atypical" "G/P" "C0494261" "Combined immunodeficiency"
"167" "C1532533" "Fungal endophthalmitis" "G/P" "C0009763;C0026946;C0155384;C0259800" "Conjunctivitis;Mycoses;Other specified disorders of eye and adnexa;Purulent endophthalmitis"
"168" "C0235753" "Congenital hemangioma" "A" "C0018916" "Hemangioma"
"169" "C1709240" "Non-Functioning Adrenal Cortex Adenoma" "G/P" "C0154040" "Benign neoplasm of adrenal gland"
"170" "C0334082" "NEVUS, EPIDERMAL (disorder)" "A" "C0027962" "Melanocytic nevus"
"171" "C0262428" "Collagen-vascular disease" "G/P" "C0477531;C0477583" "Localized connective tissue disorder, unspecified;Systemic involvement of connective tissue, unspecified"
"172" "C0435632" "Fracture of hand" "G/P" "C0452088" "Fracture at wrist and/or hand level"
"173" "C0238026" "duplication; bladder" "A" "C0158698;C0478060" "Congenital malformation of the urinary system;Other congenital malformations of bladder and urethra"
"174" "C1290342" "Acute atelectasis" "A" "C0004144" "Atelectasis"
"175" "C0403543" "Lithium nephropathy" "G/P" "C0869068" "Toxic nephropathy, not elsewhere classified in ICD10CM"
"176" "C0005136" "Berry Aneurysm" "A" "C0038525;C0155730" "Subarachnoid Hemorrhage;Nonruptured cerebral aneurysm"
"177" "C1533005" "Submucosal tumor of esophagus" "G/P" "C0546837" "Malignant neoplasm of esophagus"
"178" "C1546355" "Simple dislocation of elbow" "O" "C0478388;C0478393;C2720437" "Dislocation, sprain and strain of unspecified body region;Other injuries of unspecified body region;Dislocation of elbow joint"
"179" "C1533195" "Chronic coronary insufficiency" "O" "C0264694" "Chronic myocardial ischemia"
"180" "C0267159" "Superficial gastritis" "A" "C0017152" "Gastritis"
"181" "C0559359" "Subchondral hematoma" "G/P" "C0007302;C0018924;C0478385" "Cartilage Diseases;Hemarthrosis;Superficial injury of unspecified body region"
"182" "C1334240" "Intracranial Germinoma" "G/P" "C0153658;C0348374;C0496936" "Malignant neoplasm of endocrine gland;Malignant neoplasm of central nervous system;Neoplasm of uncertain or unknown behavior of brain, unspecified"
"183" "C0341584" "Gastric anastomotic stricture" "A" "C0869061" "Other postprocedural disorders of digestive system, NEC in ICD10AM"
"184" "C0560614" "Autonomic nerve injury" "A" "C0478393;C1145628" "Other injuries of unspecified body region;Autonomic nervous system disorders"
"185" "C0434579" "Closed traumatic dislocation of glenohumeral joint" "A" "C0037005" "Shoulder Dislocation"
"186" "C0436007" "Intraoperative fracture" "G/P" "C0016655" "Multiple fractures"
"187" "C3472688" "Single epileptic seizure" "A" "C0014544" "Epilepsy"
"188" "C0857946" "Walking pneumonia" "O" "C0004626;C0032302;C0339951" "Pneumonia, Bacterial;Mycoplasma pneumonia;Pneumonia, organism unspecified"
"189" "C0740487" "Maxillary Sinus Carcinoma" "G/P" "C0153476" "Malignant neoplasm of maxillary sinus"
"190" "C0268095" "Keshan disease" "A" "C0014378;C0451817;C0878544" "Enterovirus Infections;Dietary selenium deficiency;Cardiomyopathies"
"191" "C0158371" "Acute osteomyelitis" "A" "C0410345;C0477683;C0600123" "Subacute osteomyelitis;Other acute osteomyelitis;Acute hematogenous osteomyelitis"
"192" "C0232880" "Hematogenous proteinuria" "G/P" "C0451774;C0495723" "Isolated proteinuria with specified morphological lesion;Isolated proteinuria"
"193" "C0423637" "Sore nipple" "A" "C0024902" "Mastodynia"
"194" "C0028790" "Cerebral artery occlusion" "A" "C0007820;C0494612" "Cerebrovascular Disorders;Occlusion and stenosis of unspecified cerebral artery"
"195" "C0870387" "combined hearing and vision loss with deafness and blindness" "G/P" "C0271225;C1879328" "Impairment level: blindness, one eye - low vision other eye;Blindness both eyes NOS (disorder)"
"196" "C1299240" "Carcinoma of supraglottis" "A" "C0153484" "Malignant tumor of supraglottis"
"197" "C1444199" "Alkaptonuric ochronosis" "G/P" "C0342674;C0477531;C0477583;C0549567" "Disorder of aromatic amino acid metabolism;Localized connective tissue disorder, unspecified;Systemic involvement of connective tissue, unspecified;Pigmentation Disorders"
"198" "C1304004" "Pyogenic abscess" "G/P" "C0494813" "Cutaneous abscess, furuncle and carbuncle, unspecified"
"199" "C3661869" "Persistent asthma, well controlled" "G/P" "C0004096" "Asthma"
"200" "C1853965" "Dermatitis, Atopic, 2" "A" "C0011615" "Dermatitis, Atopic"
"201" "C0265116" "Chronic cerebral ischemia" "A" "C0348639" "Other specified cerebrovascular diseases"
"202" "C0276956" "Fasciola gigantica infection" "A" "C0015652" "Fascioliasis"
"203" "C0343858" "Chronic Necrotizing Pulmonary Aspergillosis" "G/P" "C0276653" "Invasive Pulmonary Aspergillosis"
"204" "C0684345" "Contact dermatitis due to nickel" "A" "C0263304" "Contact dermatitis due to metal"
"205" "C0017577" "Gingivosis" "A" "C0008684" "Chronic gingivitis"
"206" "C0238428" "Venomous snake bite" "G/P" "C0274869;C0478386;C0496113" "Toxic effect of heavy metal;Open wound of unspecified body region;Toxic effect of unspecified substance"
"207" "C1955629" "Human Herpesvirus 6 encephalitis" "A" "C0243010" "Viral Encephalitis"
"208" "C3711379" "Immune Dysregulation, Polyendocrinopathy, Enteropathy, X-Linked Syndrome" "G/P" "C0221018" "Hereditary sideroblastic anemia"
"209" "C0015499" "Factor V Deficiency" "A" "C0494242" "Hereditary deficiency of other clotting factors"
"210" "C0751195" "Hemiplegia, Post-Ictal" "G/P" "C0018991" "Hemiplegia"
"211" "C0015405" "Fungal eye infections" "G/P" "C0026946;C0259800" "Mycoses;Purulent endophthalmitis"
"212" "C1306758" "Hyperextension of knee" "O" "C0158767;C0158795" "Congenital deformity of knee joint;Other and unspecified congenital anomalies"
"213" "C0275375" "Nerium oleander poisoning" "G/P" "C0478468" "Toxic effect of other ingested (parts of) plant(s)"
"214" "C0276138" "Viral myocarditis" "A" "C0151328;C0729608" "Viral carditis;Myocarditis due to infectious agent"
"215" "C0016089" "Ozzardian filariasis" "A" "C0016085;C0024759" "Filariasis;Mansonelliasis"
"216" "C1302645" "Polyp of small intestine" "G/P" "C0009376;C0021831;C0265316;C0348743" "Colonic Polyps;Intestinal Diseases;Neurocutaneous Syndromes;Other specified diseases of intestine"
"217" "C0332778" "Diastasis of bone" "G/P" "C0019554;C0037005;C0159914;C0159941;C0159956;C0159970;C0272806;C0434609;C0434691;C0434717;C0478388;C0478393;C0495903;C1135812;C2720437" "Hip Dislocation;Shoulder Dislocation;Temporomandibular joint dislocation;Dislocation of wrist;Dislocation of finger;Knee Dislocation;Dislocation of cervical vertebra;Dislocation of radial head;Dislocation of ankle;Dislocation of toe joint;Dislocation, sprain and strain of unspecified body region;Other injuries of unspecified body region;Multiple dislocations of fingers;Patellar Dislocation;Dislocation of elbow joint"
"218" "C0009087" "Cluster C personality disorder" "G/P" "C0031212" "Personality Disorders"
"219" "C1720452" "Soft drusen" "A" "C0339436" "Degeneration of macula and posterior pole"
"220" "C0339821" "Concha bullosa" "A" "C0155840" "Hypertrophy of nasal turbinates"
"221" "C1265787" "Single cyst" "G/P" "C0158683" "Polycystic liver disease"
"222" "C1333786" "Gastric Precancerous Condition" "G/P" "C0006826;C0494741" "Malignant Neoplasms;Disease of stomach and duodenum, unspecified"
"223" "C0156370" "Chronic subinvolution of uterus" "A" "C0426265" "Sub-involution of uterus"
"224" "C0425258" "Mobility poor" "G/P" "C0027765;C0263660" "nervous system disorder;Musculoskeletal and connective tissue disorders"
"225" "C1853964" "Dermatitis, Atopic, 3" "A" "C0004096;C0011615" "Asthma;Dermatitis, Atopic"
"226" "C0239174" "Late tooth eruption" "A" "C0012767" "Tooth eruption disorder"
"227" "C0742965" "Eosinophilic cystitis" "A" "C0477751" "Other cystitis"
"228" "C0333217" "Bone marrow embolus" "O" "C1533618" "Fat embolism as early complication of trauma (disorder)"
"229" "C0796003" "Juberg-Marsidi syndrome" "G/P" "C0000768;C0014130;C0018777;C0018784;C0025362;C0155552;C0221018;C0478095;C0524851;C1384666" "Congenital Abnormality;Endocrine System Diseases;Conductive hearing loss;Sensorineural Hearing Loss (disorder);Mental Retardation;Hearing Loss, Mixed Conductive-Sensorineural;Hereditary sideroblastic anemia;Other specified congenital malformations;Neurodegenerative Disorders;hearing impairment"
"230" "C0281923" "Optic degeneration" "O" "C0004138" "Ataxias, Hereditary"
"231" "C2718067" "Alcoholic Steatohepatitis" "G/P" "C0015696" "Fatty Liver, Alcoholic"
