"CUI_inp" "CUI_inp_name" "Map_type" "CUI_out" "CUI_out_name"
"64" "C0347019" "Secondary malignant neoplasm of eye" "G/P" "C0496836" "Malignant tumor of eye"
"65" "C2931732" "Familial Paget's disease of bone" "A" "C0029401" "Osteitis Deformans"
"66" "C0742395" "Cholestasis, chronic" "O" "C0008350" "Cholelithiasis"
"67" "C0241902" "Grunting respiration" "O" "C0038450;C0038450" "Stridor;Stridor"
"68" "C0277873" "Nasal flaring" "G/S" "C0478147" "General symptoms and signs (R50-R69)"
"69" "C0343214" "Painful arc syndrome" "G/P" "C0030193;C0039104;C0263912" "Pain;Synovitis and tenosynovitis;Rotator cuff syndrome"
"70" "C0264557" "Chronic pneumothorax" "G/P" "C0032326" "Pneumothorax"
"71" "C1403781" "sepsis; melioidosis" "A" "C0348970;C0497442" "Acute and fulminating melioidosis;other infectious diseases"
"72" "C0271931" "Anemia of diabetes" "G/P" "C0002871;C0342257" "Anemia;Complications of Diabetes Mellitus"
"73" "C0432408" "Trisomy 12" "G/P" "C0023434;C0152095;C0152096;C0221033;C0495649" "Chronic Lymphocytic Leukemia;Patau syndrome;Complete trisomy 18 syndrome;Trisomy X syndrome;Trisomy and partial trisomy of autosomes, unspecified"
"74" "C0345976" "Epithelial neoplasm of skin" "G/P" "C0007114;C0027651;C0496955" "Malignant neoplasm of skin;Neoplasms;Neoplasm of uncertain or unknown behavior of skin"
"75" "C0039273" "Talipes cavus" "G/P" "C0263978;C0264155" "Disorder of soft tissue;Acquired deformity of limb"
"76" "C0271610" "Female hirsutism" "A" "C0019572" "Hirsutism"
"77" "C1401117" "neuroma; interdigital, lower limb" "A" "C0477388" "Other mononeuropathies of lower limb"
"78" "C0021607" "Insomnia disorder related to known organic factor" "A" "C0021603" "Sleep Initiation and Maintenance Disorders"
"79" "C0019147" "Hepatic Coma" "G/P" "C0009421;C0023895;C0085605;C0156194;C0400930" "Comatose;Liver diseases;Liver Failure;Other diseases of liver;Chronic hepatic failure"
"80" "C1444087" "Disease due to Neisseria" "G/P" "C0004623" "Bacterial Infections"
"81" "C1862102" "BRACHYDACTYLY, TYPE E1" "G/P" "C0265547" "Longitudinal deficiency of limb"
"82" "C2919453" "Postviral cough" "A" "C0010200" "Coughing"
"83" "C1301359" "Precursor T cell lymphoblastic leukemia/lymphoblastic lymphoma" "G/P" "C0024305;C0868899" "Lymphoma, Non-Hodgkin;Retrovirus infections, not elsewhere classified in ICD10CM"
"84" "C0020455" "Hypergammaglobulinemia" "A" "C0029768;C0494269" "Other specified diseases of blood and blood-forming organs;Hypergammaglobulinemia, unspecified"
"85" "C0587310" "Friction blister with infection" "G/P" "C0406047;C0478124;C0478385;C0478393" "Local infection skin/subcut tissue NOS;Other and unspecified skin changes;Superficial injury of unspecified body region;Other injuries of unspecified body region"
"86" "C0518988" "Dental abscess" "A" "C0399424" "Periapical abscess no sinus"
"87" "C2833828" "Unspecified infectious disease" "G/P" "C0348336" "Other and unspecified infectious diseases"
"88" "C0751576" "Partial Paralysis (Paresis) Vocal Cords" "G/P" "C0494657" "Paralysis of vocal cords or larynx"
"89" "C0264309" "Disorder of vocal cord" "A" "C0155852" "Other diseases of vocal cords"
"90" "C0033777" "Pruritus of genital organs" "A" "C0003107;C0033778;C0451941" "Anogenital pruritus, unspecified;Pruritus Vulvae;Scrotal pruritus"
"91" "C0497217" "Eye/adnexa disease other" "A" "C0155365;C0917967" "Disorder of vitreous body;Pupillary Functions, Abnormal"
"92" "C0160758" "Injury of saphenous vein" "A" "C0452068;C0452069;C0495937" "Injury of greater saphenous vein at lower leg level;Injury of lesser saphenous vein at lower leg level;Injury of greater saphenous vein at hip and thigh level"
"93" "C0339807" "House dust allergy" "A" "C0348689" "Other allergic rhinitis"
"94" "C0221046" "Syncope, Carotid Sinus" "A" "C0154690" "Idiopathic peripheral autonomic neuropathy"
"95" "C0349680" "Acute bilineal leukemia" "G/P" "C0085669" "Acute leukemia"
"96" "C0263162" "Cellulitis of knee" "G/P" "C0007642;C0022408;C0494821" "Cellulitis;Arthropathy;Cellulitis of other parts of limb"
"97" "C0264463" "Pneumonitis due to inhaled solid" "G/P" "C0032285;C0339951;C3263723" "Pneumonia;Pneumonia, organism unspecified;Traumatic injury"
"98" "C2887640" "Unspecified lesions of oral mucosa" "G/P" "C0348725" "Other and unspecified lesions of oral mucosa"
"99" "C0454609" "Oral-verbal dyspraxia" "G/P" "C0026613;C0349325" "Motor Skills Disorders;Developmental disorder of speech and language, unspecified"
"100" "C1690974" "Accidental event" "G/C" "C3263723" "Traumatic injury"
"101" "C0029707" "Other personality disorders" "A" "C0031212;C0349273;C0349274;C0349276;C0349277;C0349278;C0349279;C0349296" "Personality Disorders;Other specific personality disorders;Mixed and other personality disorders;Enduring personality change after catastrophic experience;Enduring personality change after psychiatric illness;Other enduring personality changes;Enduring personality change, unspecified;Other specified disorders of adult personality and behavior"
"102" "C0558089" "Verbally abusive behavior" "G/P" "C0003431" "Antisocial Personality Disorder"
"103" "C2893965" "Primary osteoarthritis of other joints" "G/P" "C0022408" "Arthropathy"
"104" "C0154159" "Iodine hypothyroidism" "A" "C0020676;C0040128;C0154164;C0342204;C0348442" "Hypothyroidism;Thyroid Diseases;Other disorders of thyroid;Subclinical iodine deficiency hypothyroidism;Other iodine-deficiency-related thyroid disorders and allied conditions"
"105" "C0159866" "Open fracture of shaft of tibia" "G/P" "C0026771;C0272767;C0478393;C0562509" "Multiple Trauma;Fracture of shaft of tibia;Other injuries of unspecified body region;Open wound of lower leg"
"106" "C2909138" "preterm labor without delivery" "G/P" "C0080276;C0269815" "Disorder of the genitourinary system;Complication of labor and delivery, unspecified"
"107" "C0418261" "Intentional self poisoning" "G/P" "C0274869;C0496113" "Toxic effect of heavy metal;Toxic effect of unspecified substance"
"108" "C0557942" "Drowning self" "G/P" "C0480203" "Self inflicted injury"
"109" "C0557941" "Hanging self" "G/P" "C0480203" "Self inflicted injury"
"110" "C0392620" "Alcohol poisoning" "G/C" "C0161679" "Toxic effect of ethyl alcohol"
"111" "C1112274" "Genital discharge" "G/S" "C0080276" "Disorder of the genitourinary system"
"112" "C0277534" "Gastroenteritis presumed infectious" "G/P" "C0178238;C0348101;C0546822" "Intestinal infectious disease (disorder);Diarrhea and gastroenteritis of presumed infectious origin;Other noninfective gastroenteritis and colitis"
"113" "C0571149" "Rocuronium allergy" "G/P" "C0478506" "Unspecified adverse effect of drug or medicament"
"114" "C0158850" "Fetal Malnutrition" "G/P" "C0162429;C0270075" "Malnutrition;Perinatal disorder"
"115" "C0877378" "Sacral pain" "A" "C0004604" "Back Pain"
"116" "C0848383" "Eye ulcer" "G/P" "C0015397" "Disorder of eye"
"117" "C0745961" "Cellulitis of lower leg" "G/P" "C0007642;C0494821" "Cellulitis;Cellulitis of other parts of limb"
"118" "C1136382" "Sclerocystic Ovaries" "G/P" "C0032460" "Polycystic Ovary Syndrome"
"119" "C0497278" "Fracture: other" "G/S" "C0016655" "Multiple fractures"
"120" "C0345760" "Neoplasm of digestive organ" "G/P" "C0012242;C0154101;C0348899;C0496905;C0496906;C0496907;C0496908;C0496909;C0496911;C0496953;C0496954" "Digestive System Disorders;Neoplasm of uncertain or unknown behavior of other digestive organs;Neoplasm of uncertain or unknown behavior of appendix;Neoplasm of uncertain or unknown behavior of stomach;Neoplasm of uncertain or unknown behavior of small intestine;Neoplasm of uncertain or unknown behavior of colon;Neoplasm of uncertain or unknown behavior of rectum;Neoplasm of uncertain or unknown behavior of liver, gallbladder and bile ducts;Neoplasm of uncertain or unknown behavior of digestive organ, unspecified;Neoplasm of uncertain or unknown behavior of retroperitoneum;Neoplasm of uncertain or unknown behavior of peritoneum"
"121" "C0265495" "Anomaly of chromosome X" "A" "C0478107" "Other specified chromosome abnormalities"
"122" "C0333156" "Serous cyst" "G/P" "C0158683" "Polycystic liver disease"
"123" "C0010635" "Cystadenoma, Mucinous" "G/P" "C0027651" "Neoplasms"
"124" "C1265790" "Lymphoepithelial cyst" "G/P" "C0014511" "Epithelial cyst"
"125" "C0423390" "Retinal artery embolism" "G/P" "C0013924;C0015397" "Embolism and thrombosis of unspecified artery;Disorder of eye"
"126" "C0037785" "Specific developmental disorder" "G/P" "C0349325;C0478658" "Developmental disorder of speech and language, unspecified;Disorder of psychological development"
"127" "C1301260" "Gastrointestinal Crohn's disease" "G/P" "C0010346" "Crohn Disease"
"128" "C1709775" "Pure Cutaneous Mastocytosis" "G/P" "C0024899;C0496955" "Mastocytosis;Neoplasm of uncertain or unknown behavior of skin"
"129" "C1283819" "Pemphigus minor disorder" "A" "C0030809" "Pemphigus Vulgaris"
"130" "C0349516" "Isolated aortic stenosis" "G/P" "C0003507" "Aortic Valve Stenosis"
"131" "C0272387" "Hyperplasia of tonsils" "G/P" "C0155828" "Chronic disease of tonsils AND/OR adenoids"
"132" "C0268181" "Lactose Intolerance, Adult Type" "A" "C0022951;C0348485" "Lactose Intolerance;Other lactose intolerance"
"133" "C0406226" "Traumatic skin ulcer" "G/P" "C0494891;C3263723" "Chronic ulcer of skin, not elsewhere classified;Traumatic injury"
"134" "C1096749" "Ureteral infection" "A" "C0029781;C0178288" "Other specified disorders of kidney and ureter;Urinary disease other"
"135" "C1963651" "renal fistula" "A" "C0029781;C0178288" "Other specified disorders of kidney and ureter;Urinary disease other"
"136" "C0599528" "beta thalassemia major anemia" "G/P" "C0039730" "Thalassemia"
"137" "C0158510" "Other acquired musculoskeletal deformity" "G/P" "C0263978;C0495018" "Disorder of soft tissue;Other acquired deformities of musculoskeletal system and connective tissue"
"138" "C0700360" "Animal dander allergy" "G/P" "C0155891;C0340139;C0494666" "Air-conditioner and humidifier lung;Lung disease due to external agents;Hypersensitivity pneumonitis due to unspecified organic dust"
"139" "C0699739" "Sensory Neuropathy, Hereditary" "A" "C0027888;C0154725;C0477392" "Hereditary Motor and Sensory Neuropathies;Other disorders of nervous system;Other hereditary and idiopathic neuropathies"
"140" "C0394014" "Post-anoxic coma" "G/P" "C0009421" "Comatose"
"141" "C1277265" "Dry eczema" "A" "C0263465" "Asteatosis cutis"
"142" "C0236991" "primary sleep disorders" "G/P" "C0851578" "Sleep Disorders"
"143" "C1275515" "Venomous bite wound" "A" "C0496111" "Toxic effect of contact with unspecified venomous animal"
"144" "C0025349" "Menstruation, Retrograde" "G/P" "C0152436;C0156404" "Hymen, Imperforate;Irregular periods"
"145" "C0341919" "Pre-existing hypertension in obstetric context" "A" "C0495177" "Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
"146" "C0497538" "Benign digestive system neoplasms" "A" "C0348412" "benign neoplasm ill-defined sites with the digestive system"
"147" "C0442840" "Cardiac embolism" "O" "C0155626" "Acute myocardial infarction"
"148" "C0456798" "Perinatal trauma" "A" "C0005604" "Birth Injuries"
"149" "C0266806" "Disorder of digestive organ" "A" "C0012242" "Digestive System Disorders"
"150" "C0343886" "Gastrointestinal candidiasis" "G/P" "C0006840;C0008354;C0013371;C0178238;C0348336" "Candidiasis;Cholera;Shigella Infections;Intestinal infectious disease (disorder);Other and unspecified infectious diseases"
"151" "C0023653" "Lichenification" "A" "C0149922" "Lichen Simplex Chronicus"
"152" "C0345836" "Ileal Cancer" "G/P" "C0346627" "Intestinal Cancer"
"153" "C0342654" "Nutritional hypophosphatemia" "A" "C0031707" "Phosphorus Metabolism Disorders"
"154" "C0158947" "Omphalitis of the newborn" "A" "C0158944;C0495410" "Infections specific to perinatal period;Omphalitis of newborn with or without mild hemorrhage"
"155" "C0154333" "Subacute Delirium" "A" "C0011206;C0349085" "Delirium;Delirium not superimposed on dementia, so described"
"156" "C1828290" "Incontinence due to detrusor instability" "G/P" "C0042024" "Urinary Incontinence"
"157" "C1142127" "Pneumococcal bacteraemia" "G/P" "C0038395" "Streptococcal Infections"
"158" "C0399446" "Chronic periodontitis complex" "A" "C0266929" "Chronic Periodontitis"
"159" "C0543769" "periodontitis complex" "O" "C0001342;C0266929;C0600298;C0600298" "Acute pericementitis;Chronic Periodontitis;Periodontosis;Periodontosis"
"160" "C0267420" "Dietetic gastroenteritis" "A" "C0494761" "Allergic and dietetic gastroenteritis and colitis"
"161" "C0348917" "Pre-existing diabetes mellitus, insulin-dependent" "G/P" "C0011854" "Diabetes Mellitus, Insulin-Dependent"
"162" "C0473119" "Fecal peritonitis" "A" "C0031154;C0348746" "Peritonitis;Other peritonitis"
"163" "C0454644" "Delayed articulatory and language development" "A" "C0349325" "Developmental disorder of speech and language, unspecified"
"164" "C1302869" "Exfoliative lesion (morphologic abnormality)" "O" "C0033860;C0085657;C0159040;C0178298;C0221244;C0221244;C0348725;C0477488" "Psoriasis;Pityriasis alba;Changes in skin texture;Skin and subcutaneous tissue disorders;Seborrheic dermatitis of scalp;Seborrheic dermatitis of scalp;Other and unspecified lesions of oral mucosa;Other specified papulosquamous disorders"
"165" "C0276355" "Influenza due to other identified influenza virus" "G/P" "C0348675" "Influenza with other respiratory manifestations, virus not identified"
"166" "C0349391" "Apraxia, Verbal" "A" "C0003635" "Apraxias"
"167" "C0751528" "Stuttering, Childhood" "G/P" "C0395018" "Has a stammer or stutter"
"168" "C1832609" "Anterior polar cataract 2" "A" "C0086543" "Cataract"
"169" "C0812378" "Gonococcal cervicitis" "A" "C0494054" "Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess"
"170" "C0022570" "Keratitis, Dendritic" "A" "C0494081;C0494524" "Herpesviral ocular disease;Herpesviral keratitis and keratoconjunctivitis"
"171" "C1828387" "Cardiac arrest due to trauma" "A" "C0018790" "Cardiac Arrest"
"172" "C3163798" "Recurrent lower respiratory tract infection" "A" "C0008677;C0348713" "Bronchitis, Chronic;Other specified respiratory disorders"
"173" "C0149704" "Gingivostomatitis" "G/P" "C0008684;C0348724" "Chronic gingivitis;Other forms of stomatitis"
"174" "C0264286" "Ulcerative pharyngitis" "G/P" "C0001344;C0242429;C0348724;C0494891" "Acute pharyngitis;Sore Throat;Other forms of stomatitis;Chronic ulcer of skin, not elsewhere classified"
"175" "C0221290" "Chondromyxoid fibroma" "G/P" "C0153959;C0154125;C0263978" "Benign tumor of bone and articular cartilage;Neoplasm of uncertain behavior of soft tissues;Disorder of soft tissue"
"176" "C0153025" "Post-herpetic polyneuropathy" "A" "C0019360;C0032768;C0042769;C0477395" "Herpes zoster disease;Postherpetic neuralgia;Virus Diseases;Polyneuropathy in infectious and parasitic diseases classified elsewhere"
"177" "C3662826" "Lumbar discogenic pain" "A" "C0477628" "Other specified intervertebral disc degeneration"
"178" "C2931183" "FACES syndrome" "A" "C0003123;C0006625;C0015393" "Anorexia;Cachexia;Eye Abnormalities"
"179" "C0023076" "Laryngotracheitis" "A" "C0155811" "Acute laryngitis and/or tracheitis"
"180" "C2919094" "PCP - Hallucinogen-Related Disorder" "O" "C0496675" "Medical care, unspecified"
"181" "C1274925" "Skin-ache syndrome" "A" "C0478123" "Other and unspecified disturbances of skin sensation"
"182" "C1276076" "Impetiginized atopic dermatitis" "A" "C0021099;C0348767" "Impetigo;Impetiginization of other dermatoses"
"183" "C0239886" "Frontal headache" "A" "C0018681" "Headache"
"184" "C0474381" "Chromatopsia" "G/P" "C0152187;C0547030;C3665346" "Amblyopia ex anopsia;Visual disturbance;Unspecified visual loss"
"185" "C0856281" "Pyrexia of unknown origin (excl puerperal)" "A" "C0015967" "Fever"
"186" "C0041960" "Ureterocele" "G/P" "C0521620" "Dilatation of ureter"
"187" "C1264603" "Post-infectious disorder" "O" "C0348336" "Other and unspecified infectious diseases"
"188" "C1112166" "Nipple neoplasm" "G/P" "C0006142;C0496956" "Malignant neoplasm of breast;Neoplasm of uncertain or unknown behavior of breast"
"189" "C0346190" "Benign neoplasm of fallopian tube" "A" "C0496889" "Benign neoplasm of fallopian tubes and uterine ligaments"
"190" "C0149951" "Ovarian Fibromata" "A" "C0004997" "Benign Ovarian Neoplasm"
"191" "C0030584" "Parovarian Cyst" "A" "C0431631" "Embryonic cyst of fallopian tube"
"192" "C0347659" "Hemorrhage into ovary" "G/P" "C0019065;C0156367;C0348668;C0869085" "Hemoperitoneum;Noninflammatory disorders of the ovary, fallopian tube and broad ligament;Other and unspecified disorders of the circulatory system;Hemorrhage, not elsewhere classified in ICD10CM"
"193" "C1696704" "Ovarian haemorrhage" "G/P" "C0019065;C0348668;C0869085" "Hemoperitoneum;Other and unspecified disorders of the circulatory system;Hemorrhage, not elsewhere classified in ICD10CM"
"194" "C0269164" "Rupture of ovary" "A" "C0156366" "Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
"195" "C0520532" "Subcutaneous hematoma" "A" "C0478385" "Superficial injury of unspecified body region"
"196" "C1370963" "Prostate cancer stage B" "G/P" "C0376358" "Malignant neoplasm of prostate"
"197" "C1850039" "Pericardial Effusion, Chronic" "G/P" "C0155679;C0265122;C0349077" "Acute pericarditis;Disorder of pericardium;Pericardial effusion - noninflammatory"
"198" "C3164254" "Sepsis due to Staphylococcus" "G/P" "C0038160;C0348133" "Staphylococcal Infections;Other specified septicemia"
"199" "C0852563" "Sleep disorders due to general medical condition" "G/P" "C0851578" "Sleep Disorders"
"200" "C0339238" "Epitheliitis" "G/P" "C0010034" "Corneal Diseases"
"201" "C0741729" "Breast lump (benign)" "A" "C0346156" "Benign neoplasm of breast"
"202" "C3672440" "Bile duct hyperplasia" "G/P" "C0005424" "Biliary Tract Diseases"
"203" "C0160474" "Open wound of eyeball" "G/P" "C0273239;C0478210;C0478214;C0478393;C0495806;C0495999" "Open wound of head;Injury of eye and orbit, part unspecified;Traumatic amputation of unspecified part of head;Other injuries of unspecified body region;Multiple open wounds of head;Open wound of trunk, level unspecified"
"204" "C0338380" "Postoperative hematoma" "A" "C0274310;C0496131" "Complication of surgical and medical care, unspecified;Hemorrhage and hematoma complicating a procedure, NEC in ICD10AE_1998"
"205" "C1148522" "Acoustic Trauma" "G/P" "C0018674;C0155531" "Craniocerebral Trauma;Noise effects on inner ear"
"206" "C0344155" "Narcotic poisoning" "G/P" "C0409910" "Gout secondary to drug"
"207" "C0936282" "Blastoma" "G/P" "C0006826" "Malignant Neoplasms"
"208" "C3698366" "Bone fragment" "G/P" "C0016655" "Multiple fractures"
"209" "C0432072" "Dysmorphic features" "A" "C0869095" "Congenital malformation of face and neck, unspecified"
"210" "C1864172" "Peroxisome Biogenesis Disorder, Complementation Group G" "G/P" "C0494362" "Other specified metabolic disorders"
"211" "C0161821" "Late amputation stump complication" "A" "C0478501" "Other and unspecified complications of amputation stump"
"212" "C0270381" "Subchronic schizophrenia" "A" "C0036337;C0036341;C0338798" "Schizoaffective Disorder;Schizophrenia;Other schizophrenia"
"213" "C1834144" "Sick Sinus Syndrome 2, Autosomal Dominant" "A" "C0037052" "Sick Sinus Syndrome"
"214" "C3669423" "Secondary nutritional hyperparathyroidism" "G/P" "C0020502;C0042075" "Hyperparathyroidism;Urologic Diseases"
"215" "C0014336" "Enteritis necroticans" "A" "C0275590" "Food poisoning due to Clostridium perfringens"
"216" "C1332539" "Benign Smooth Muscle Neoplasm" "G/P" "C0086692;C0496876" "Benign Neoplasm;Other benign neoplasm of connective and other soft tissue, unspecified"
"217" "C0573999" "Popliteal artery embolus" "A" "C0340589" "Embolism and thrombosis of arteries of lower extremities"
"218" "C0265089" "Stenosis of precerebral artery" "G/P" "C0007820;C0038449;C0085096" "Cerebrovascular Disorders;Stricture of artery;Peripheral Vascular Diseases"
"219" "C0851401" "Maternal complications of pregnancy" "G/C" "C0080276" "Disorder of the genitourinary system"
"220" "C0399404" "Chronic pulpitis" "A" "C0034103" "Pulpitis"
"221" "C0272105" "Anemia due to infection" "G/P" "C0002871;C0348336" "Anemia;Other and unspecified infectious diseases"
"222" "C1720078" "Neurologic disorder associated with diabetes mellitus" "A" "C2362567" "Unspecified diabetes mellitus with neurological complications"
"223" "C0241872" "Constitutional eczema" "A" "C0011603" "Dermatitis"
