"cause_name" "ICD" "except" "nb_except" "Oth"
"142" "Peptic ulcer disease" "K25;K26;K27" "" 0 0
"143" "Gastritis and duodenitis" "K29" "" 0 0
"144" "Appendicitis" "K35;K36;K37" "" 0 0
"145" "Paralytic ileus and intestinal obstruction without hernia" "K56" "" 0 0
"146" "Inguinal or femoral hernia" "K40;K41" "" 0 0
"147" "Non-infective inflammatory bowel disease" "K50;K51;K52" "" 0 0
"148" "Vascular disorders of intestine" "K55" "" 0 0
"149" "Gall bladder and bile duct disease" "K80;K81;K82;K83" "" 0 0
"150" "Pancreatitis" "K85;K86" "" 0 0
"153" "Alzheimer's disease and other dementias" "F00;F01;F02;F03;G30;G31" "" 0 0
"154" "Parkinson's disease" "G20;G21" "" 0 0
"155" "Epilepsy" "G40;G41" "" 0 0
"156" "Multiple sclerosis" "G35" "" 0 0
"157" "Migraine" "G43" "" 0 0
"158" "Tension-type headache" "G44" "" 0 0
"161" "Schizophrenia" "F20;F21;F22;F23;F24;F25;F26;F27;F28;F29" "" 0 0
"162" "Alcohol use disorders" "F10;X45;Q86.0" "" 0 0
"163" "Drug use disorders" "F11;F14;F15;F12;F13;F16;X41;X42;X49;F18;F19" "" 0 0
"170" "Major depressive disorder" "F32;F33" "" 0 0
"171" "Dysthymia" "F34.1" "" 0 0
"172" "Bipolar affective disorder" "F30;F31" "" 0 0
"173" "Anxiety disorders" "F40;F41;F42;F43;F44" "" 0 0
"174" "Eating disorders" "F50" "" 0 0
"176" "Autism" "F84.0" "" 0 0
"177" "Asperger's syndrome" "F84.5" "" 0 0
"179" "Attention-deficit hyperactivity disorder" "F90" "" 0 0
"180" "Conduct disorder" "F91;F92" "" 0 0
"181" "Idiopathic intellectual disability" "F70;F71;F72;F73;F74;F75;F76;F77;F78;F79" "" 0 0
"183" "Diabetes mellitus" "E10;E11;E12;E13" "E10.2;E11.2;E12.2;E13.2" 1 0
"184" "Acute glomerulonephritis" "N00;N01" "" 0 0
"185" "Chronic kidney diseases" "E10.2;E11.2;E12.2;E13.2;I12;I13;N02;N03;N04;N05;N06;N07;N15.0" "" 0 0
"189" "Tubulointerstitial nephritis, pyelonephritis, and urinary tract infections" "N30;N34;N39.0;N10;N11;N12;N15.1;N15.2;N15.3;N15.4;N15.5;N15.6;N15.7;N15.8;N15.9" "" 0 0
"190" "Urolithiasis" "N20;N21;N22;N23" "" 0 0
"191" "Benign prostatic hyperplasia" "N40" "" 0 0
"192" "Male infertility" "N46" "" 0 0
"195" "Uterine fibroids" "D25" "" 0 0
"196" "Polycystic ovarian syndrome" "E28.2" "" 0 0
"197" "Female infertility" "N97" "" 0 0
"198" "Endometriosis" "N80" "" 0 0
"199" "Genital prolapse" "N81" "" 0 0
"200" "Premenstrual syndrome" "N94.3" "" 0 0
"203" "Thalassemias" "D56" "" 0 0
"204" "Sickle cell disorders" "D57" "" 0 0
"205" "G6PD deficiency" "D55" "" 0 0
"208" "Rheumatoid arthritis" "M05;M06" "" 0 0
"209" "Osteoarthritis" "M15;M16;M17;M18;M19" "" 0 0
"211" "Low back pain" "M46.9;M47;M48.0;M48.1;M48.2;M48.8;M48.9;M51;M52;M53;M54" "M53.1;M53.2" 1 0
"212" "Neck pain" "M50;M53.1;M53.2" "" 0 0
"213" "Gout" "M10" "" 0 0
"222" "Eczema" "L20;L21;L22;L23;L24;L25;L26;L27;L28" "" 0 0
"223" "Psoriasis" "L40;L41" "" 0 0
"224" "Cellulitis" "L03" "" 0 0
"225" "Abscess, impetigo, and other bacterial skin diseases" "L00;L01;L02;L04;L08;L88;L97;L98.0;L98.1;L98.2;L98.3;L98.4" "" 0 0
"226" "Scabies" "B86" "" 0 0
"227" "Fungal skin diseases" "B35;B36" "" 0 0
"228" "Viral skin diseases" "B00;B07;B08;B09" "" 0 0
"229" "Acne vulgaris" "L70" "" 0 0
"230" "Alopecia areata" "L63" "" 0 0
"231" "Pruritus" "L29" "" 0 0
"232" "Urticaria" "L50" "" 0 0
"233" "Decubitus ulcer" "L89" "" 0 0
"235" "Glaucoma" "H40" "" 0 0
"236" "Cataracts" "H25;H26" "" 0 0
"237" "Macular degeneration" "H35.3" "" 0 0
"238" "Refraction and accommodation disorders" "H49;H50;H51;H52" "" 0 0
"243" "Dental caries" "K02" "" 0 0
"244" "Periodontal disease" "K05" "" 0 0
"245" "Edentulism" "NoICDcode" "" 0 0
"247" "Road injury" "V01;V02;V03;V04;V06;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V82;V87;Y85.0" "" 0 0
"254" "Falls" "W00;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W11;W12;W13;W14;W15;W16;W17;W18;W19" "" 0 0
"255" "Drowning" "V90;V92;W65;W66;W67;W68;W69;W70;W71;W72;W73;W74" "" 0 0
"256" "Fire, heat and hot substances" "X00;X01;X02;X03;X04;X05;X06;X07;X08;X09;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19" "" 0 0
"257" "Poisonings" "X48;X40;X46;X47;X43;X44" "" 0 0
"258" "Exposure to mechanical forces" "W32;W33;W34;W24;W25;W26;W27;W28;W29;W30;W31;W45;W46" "" 0 0
"261" "Adverse effects of medical treatment" "Y88;Y40;Y41;Y42;Y43;Y44;Y45;Y46;Y47;Y48;Y49;Y50;Y51;Y52;Y53;Y54;Y55;Y56;Y57;Y58;Y59;Y60;Y61;Y62;Y63;Y64;Y65;Y66;Y67;Y68;Y69;Y70;Y71;Y72;Y73;Y74;Y75;Y76;Y77;Y78;Y79;Y80;Y81;Y82;Y83;Y84" "" 0 0
"262" "Animal contact" "X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;W53;W54;W55;W56;W57;W58;W59;W60;W61;W62;W63;W64" "" 0 0
"265" "Sudden infant death syndrome" "R95" "" 0 0
"267" "Self-harm" "X70;X68;X71;X75;X69;X76;X77;X72;X73;X74;X78;X79;X80;X81;X82;X83;X60;X61;X62;X63;X64;X65;X66;X67" "" 0 0
"268" "Interpersonal violence" "X99;X93;X94;X95;X85;X86;X87;X88;X89;X90;X91;X92;X96;X97;X98;Y00;Y01;Y02;Y03;Y04;Y05;Y06;Y07;Y08" "" 0 0
"273" "Exposure to forces of nature" "X30;X31;X32;X33;X34;X35;X36;X37;X38;X39" "" 0 0
"274" "Collective violence and legal intervention" "Y36;Y89.1;Y35;Y89.0" "" 0 0
"1921" "Congenital anomalies" "Q00;Q01;Q05;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q35;Q36;Q37;Q90;Q91;Q92;Q93;Q94;Q95;Q96;Q97;Q98;Q99;Q04;Q01;Q02;Q03;Q06;Q07;Q08;Q09;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q30;Q31;Q32;Q33;Q34;Q38;Q39;Q40;Q41;Q42;Q43;Q44;Q45;Q50;Q51;Q52;Q53;Q54;Q55;Q56;Q57;Q58;Q59;Q60;Q61;Q62;Q63;Q64;Q65;Q66;Q67;Q68;Q69;Q70;Q71;Q72;Q73;Q74;Q75;Q76;Q77;Q78;Q79;Q80;Q81;Q82;Q83;Q84;Q85;Q86;Q87;Q88;Q89" "Q86.0" 1 0
