"level" "cause_name" "parent"
"34" 3 "Rabies" "Neglected tropical diseases and malaria"
"35" 3 "Schistosomiasis" "Neglected tropical diseases and malaria"
"36" 3 "Trachoma" "Neglected tropical diseases and malaria"
"37" 3 "Yellow fever" "Neglected tropical diseases and malaria"
"38" 2 "Maternal disorders" "Communicable, maternal, neonatal, and nutritional disorders"
"39" 2 "Neonatal disorders" "Communicable, maternal, neonatal, and nutritional disorders"
"40" 3 "Neonatal encephalopathy (birth asphyxia and birth trauma)" "Neonatal disorders"
"41" 3 "Preterm birth complications" "Neonatal disorders"
"42" 3 "Sepsis and other infectious disorders of the newborn baby" "Neonatal disorders"
"43" 2 "Nutritional deficiencies" "Communicable, maternal, neonatal, and nutritional disorders"
"44" 3 "Iodine deficiency" "Nutritional deficiencies"
"45" 3 "Iron-deficiency anemia" "Nutritional deficiencies"
"46" 3 "Protein-energy malnutrition" "Nutritional deficiencies"
"47" 3 "Vitamin A deficiency" "Nutritional deficiencies"
"48" 2 "Other communicable, maternal, neonatal, and nutritional disorders" "Communicable, maternal, neonatal, and nutritional disorders"
"49" 3 "Hepatitis" "Other communicable, maternal, neonatal, and nutritional disorders"
"50" 4 "Acute hepatitis A" "Hepatitis"
"51" 4 "Acute hepatitis B" "Hepatitis"
"52" 4 "Acute hepatitis C" "Hepatitis"
"53" 4 "Acute hepatitis E" "Hepatitis"
"54" 3 "Leprosy" "Other communicable, maternal, neonatal, and nutritional disorders"
"55" 3 "Sexually transmitted diseases excluding HIV" "Other communicable, maternal, neonatal, and nutritional disorders"
"56" 4 "Gonococcal infection" "Sexually transmitted diseases excluding HIV"
"57" 4 "Sexually transmitted chlamydial diseases" "Sexually transmitted diseases excluding HIV"
"58" 4 "Syphilis" "Sexually transmitted diseases excluding HIV"
"59" 4 "Trichomoniasis" "Sexually transmitted diseases excluding HIV"
"60" 1 "Non-communicable diseases" "Total (All Causes)"
"61" 2 "Neoplasms" "Non-communicable diseases"
"62" 3 "Bladder cancer" "Neoplasms"
"63" 3 "Brain and nervous system cancers" "Neoplasms"
"64" 3 "Breast cancer" "Neoplasms"
"65" 3 "Cancer of other part of pharynx and oropharynx" "Neoplasms"
"66" 3 "Cervical cancer" "Neoplasms"
"67" 3 "Colon and rectum cancers" "Neoplasms"
"68" 3 "Esophageal cancer" "Neoplasms"
"69" 3 "Gallbladder and biliary tract cancer" "Neoplasms"
"70" 3 "Hodgkin's disease" "Neoplasms"
"71" 3 "Kidney and other urinary organ cancers" "Neoplasms"
"72" 3 "Larynx cancer" "Neoplasms"
"73" 3 "Leukemia" "Neoplasms"
"74" 3 "Liver cancer" "Neoplasms"
"75" 3 "Malignant melanoma of skin" "Neoplasms"
"76" 3 "Mouth cancer" "Neoplasms"
"77" 3 "Multiple myeloma" "Neoplasms"
"78" 3 "Nasopharynx cancer" "Neoplasms"
"79" 3 "Non-Hodgkin lymphoma" "Neoplasms"
"80" 3 "Non-melanoma skin cancer" "Neoplasms"
"81" 3 "Ovarian cancer" "Neoplasms"
"82" 3 "Pancreatic cancer" "Neoplasms"
"83" 3 "Prostate cancer" "Neoplasms"
"84" 3 "Stomach cancer" "Neoplasms"
"85" 3 "Testicular cancer" "Neoplasms"
"86" 3 "Thyroid cancer" "Neoplasms"
"87" 3 "Trachea, bronchus, and lung cancers" "Neoplasms"
"88" 3 "Uterine cancer" "Neoplasms"
"89" 2 "Cardiovascular and circulatory diseases" "Non-communicable diseases"
"90" 3 "Aortic aneurysm" "Cardiovascular and circulatory diseases"
"91" 3 "Atrial fibrillation and flutter" "Cardiovascular and circulatory diseases"
"92" 3 "Cardiomyopathy and myocarditis" "Cardiovascular and circulatory diseases"
"93" 3 "Cerebrovascular disease" "Cardiovascular and circulatory diseases"
"94" 3 "Endocarditis" "Cardiovascular and circulatory diseases"
"95" 3 "Hypertensive heart disease" "Cardiovascular and circulatory diseases"
"96" 3 "Ischemic heart disease" "Cardiovascular and circulatory diseases"
"97" 3 "Peripheral vascular disease" "Cardiovascular and circulatory diseases"
"98" 3 "Rheumatic heart disease" "Cardiovascular and circulatory diseases"
"99" 2 "Chronic respiratory diseases" "Non-communicable diseases"
"100" 3 "Asthma" "Chronic respiratory diseases"
"101" 3 "Chronic obstructive pulmonary disease" "Chronic respiratory diseases"
"102" 3 "Interstitial lung disease and pulmonary sarcoidosis" "Chronic respiratory diseases"
"103" 3 "Pneumoconiosis" "Chronic respiratory diseases"
"104" 2 "Cirrhosis of the liver" "Non-communicable diseases"
"105" 2 "Digestive diseases (except cirrhosis)" "Non-communicable diseases"
"106" 3 "Appendicitis" "Digestive diseases (except cirrhosis)"
"107" 3 "Gall bladder and bile duct disease" "Digestive diseases (except cirrhosis)"
"108" 3 "Gastritis and duodenitis" "Digestive diseases (except cirrhosis)"
"109" 3 "Inguinal or femoral hernia" "Digestive diseases (except cirrhosis)"
"110" 3 "Non-infective inflammatory bowel disease" "Digestive diseases (except cirrhosis)"
"111" 3 "Pancreatitis" "Digestive diseases (except cirrhosis)"
"112" 3 "Paralytic ileus and intestinal obstruction without hernia" "Digestive diseases (except cirrhosis)"
"113" 3 "Peptic ulcer disease" "Digestive diseases (except cirrhosis)"
"114" 3 "Vascular disorders of intestine" "Digestive diseases (except cirrhosis)"
"115" 2 "Neurological disorders" "Non-communicable diseases"
"116" 3 "Alzheimer's disease and other dementias" "Neurological disorders"
"117" 3 "Epilepsy" "Neurological disorders"
"118" 3 "Migraine" "Neurological disorders"
"119" 3 "Multiple sclerosis" "Neurological disorders"
"120" 3 "Parkinson's disease" "Neurological disorders"
"121" 3 "Tension-type headache" "Neurological disorders"
"122" 2 "Mental and behavioral disorders" "Non-communicable diseases"
"123" 3 "Alcohol use disorders" "Mental and behavioral disorders"
"124" 3 "Anxiety disorders" "Mental and behavioral disorders"
"125" 3 "Bipolar affective disorder" "Mental and behavioral disorders"
"126" 3 "Childhood behavioral disorders" "Mental and behavioral disorders"
"127" 4 "Attention-deficit hyperactivity disorder" "Childhood behavioral disorders"
"128" 4 "Conduct disorder" "Childhood behavioral disorders"
"129" 3 "Drug use disorders" "Mental and behavioral disorders"
"130" 3 "Eating disorders" "Mental and behavioral disorders"
"131" 3 "Idiopathic intellectual disability" "Mental and behavioral disorders"
"132" 3 "Pervasive development disorders" "Mental and behavioral disorders"
"133" 4 "Asperger's syndrome" "Pervasive development disorders"
"134" 4 "Autism" "Pervasive development disorders"
"135" 3 "Schizophrenia" "Mental and behavioral disorders"
"136" 3 "Unipolar depressive disorders" "Mental and behavioral disorders"
"137" 4 "Dysthymia" "Unipolar depressive disorders"
"138" 4 "Major depressive disorder" "Unipolar depressive disorders"
"139" 2 "Diabetes, urogenital, blood, and endocrine diseases" "Non-communicable diseases"
"140" 3 "Diabetes mellitus" "Diabetes, urogenital, blood, and endocrine diseases"
"141" 3 "Acute glomerulonephritis" "Diabetes, urogenital, blood, and endocrine diseases"
"142" 3 "Chronic kidney diseases" "Diabetes, urogenital, blood, and endocrine diseases"
"143" 3 "Urinary diseases and male infertility" "Diabetes, urogenital, blood, and endocrine diseases"
"144" 4 "Benign prostatic hyperplasia" "Urinary diseases and male infertility"
"145" 4 "Male infertility" "Urinary diseases and male infertility"
"146" 4 "Tubulointerstitial nephritis, pyelonephritis, and urinary tract infections" "Urinary diseases and male infertility"
"147" 4 "Urolithiasis" "Urinary diseases and male infertility"
"148" 3 "Gynecological diseases" "Diabetes, urogenital, blood, and endocrine diseases"
"149" 4 "Endometriosis" "Gynecological diseases"
"150" 4 "Female infertility" "Gynecological diseases"
"151" 4 "Genital prolapse" "Gynecological diseases"
"152" 4 "Polycystic ovarian syndrome" "Gynecological diseases"
"153" 4 "Premenstrual syndrome" "Gynecological diseases"
"154" 4 "Uterine fibroids" "Gynecological diseases"
"155" 3 "Hemoglobinopathies and hemolytic anemias" "Diabetes, urogenital, blood, and endocrine diseases"
"156" 4 "G6PD deficiency" "Hemoglobinopathies and hemolytic anemias"
"157" 4 "Sickle cell disorders" "Hemoglobinopathies and hemolytic anemias"
"158" 4 "Thalassemias" "Hemoglobinopathies and hemolytic anemias"
"159" 2 "Musculoskeletal disorders" "Non-communicable diseases"
"160" 3 "Rheumatoid arthritis" "Musculoskeletal disorders"
"161" 3 "Osteoarthritis" "Musculoskeletal disorders"
"162" 3 "Low back and neck pain" "Musculoskeletal disorders"
"163" 4 "Low back pain" "Low back and neck pain"
"164" 4 "Neck pain" "Low back and neck pain"
"165" 3 "Gout" "Musculoskeletal disorders"
"166" 2 "Other non-communicable diseases" "Non-communicable diseases"
"167" 3 "Congenital anomalies" "Other non-communicable diseases"
"168" 3 "Skin and subcutaneous diseases" "Other non-communicable diseases"
"169" 4 "Abscess, impetigo, and other bacterial skin diseases" "Skin and subcutaneous diseases"
"170" 4 "Acne vulgaris" "Skin and subcutaneous diseases"
"171" 4 "Alopecia areata" "Skin and subcutaneous diseases"
"172" 4 "Cellulitis" "Skin and subcutaneous diseases"
"173" 4 "Decubitus ulcer" "Skin and subcutaneous diseases"
"174" 4 "Eczema" "Skin and subcutaneous diseases"
"175" 4 "Fungal skin diseases" "Skin and subcutaneous diseases"
"176" 4 "Pruritus" "Skin and subcutaneous diseases"
"177" 4 "Psoriasis" "Skin and subcutaneous diseases"
"178" 4 "Scabies" "Skin and subcutaneous diseases"
"179" 4 "Urticaria" "Skin and subcutaneous diseases"
"180" 4 "Viral skin diseases" "Skin and subcutaneous diseases"
"181" 3 "Sense organ diseases" "Other non-communicable diseases"
"182" 4 "Cataracts" "Sense organ diseases"
"183" 4 "Glaucoma" "Sense organ diseases"
"184" 4 "Macular degeneration" "Sense organ diseases"
"185" 4 "Refraction and accommodation disorders" "Sense organ diseases"
"186" 3 "Oral disorders" "Other non-communicable diseases"
"187" 4 "Dental caries" "Oral disorders"
"188" 4 "Edentulism" "Oral disorders"
"189" 4 "Periodontal disease" "Oral disorders"
"190" 3 "Sudden infant death syndrome" "Other non-communicable diseases"
"191" 1 "Injuries" "Total (All Causes)"
"192" 2 "Transport injuries" "Injuries"
"193" 3 "Road injury" "Transport injuries"
"194" 2 "Unintentional injuries other than transport injuries" "Injuries"
"195" 3 "Adverse effects of medical treatment" "Unintentional injuries other than transport injuries"
"196" 3 "Animal contact" "Unintentional injuries other than transport injuries"
"197" 3 "Drowning" "Unintentional injuries other than transport injuries"
"198" 3 "Exposure to mechanical forces" "Unintentional injuries other than transport injuries"
"199" 3 "Falls" "Unintentional injuries other than transport injuries"
"200" 3 "Fire, heat and hot substances" "Unintentional injuries other than transport injuries"
"201" 3 "Poisonings" "Unintentional injuries other than transport injuries"
"202" 2 "Self-harm and interpersonal violence" "Injuries"
"203" 3 "Interpersonal violence" "Self-harm and interpersonal violence"
"204" 3 "Self-harm" "Self-harm and interpersonal violence"
"205" 2 "Forces of nature, war, and legal intervention" "Injuries"
"206" 3 "Collective violence and legal intervention" "Forces of nature, war, and legal intervention"
"207" 3 "Exposure to forces of nature" "Forces of nature, war, and legal intervention"
